Food_ID,Stall Name,Name of Food,Ingredients,Health Benefits,Serving_Size,Price,Rating,Nutritional,General_Rating,food_time,dietary_restricitions,allergen_avoidance,nutritional_preference,Macronutrients,food_type,stall_id,calories,url
18,Fudbook kitchenette,Avocado Juice,"Avocado Flavored Power, Water, Sugar",Nutrient-dense,Medium,20,80,90,85,Drinks,"Vegetarian,Vegan,Pescatarian,Halal,Kosher","Gluten-Free,Dairy-Free,Nut-Free,Soy-Free,Seafood-Free","Low-Carb,Low-Sodium","Calories,Carbohydrates,Protein,Fat,Fiber",drinks,13,83,avocado.jpg
19,Fudbook kitchenette,Iced Tea Juice,"Iced Tea Flavored Powder, Water, Sugar",Hydrating,Medium,20,80,90,85,Drinks,"Vegetarian,Vegan,Pescatarian,Halal,Kosher","Gluten-Free,Dairy-Free,Nut-Free,Soy-Free,Seafood-Free","Low-Carb,Low-Sugar,Low-Sodium",Carbohydrates,drinks,13,77,icedtea.jpg
20,Fudbook kitchenette,Lychee Juice,"Lychee Flavored Powder, Water, Sugar",Immunity-boosting,Medium,20,80,88,84,Drinks,"Vegetarian,Vegan,Pescatarian,Halal,Kosher","Nut-Free,Soy-Free,Seafood-Free","Low-Carb,Low-Sugar,Low-Sodium",Carbohydrates,drinks,13,75,lychee.jpg
21,Fudbook kitchenette,Chocolate Juice,"Chocolate Flavored Powder, Water, Sugar",Mood-enhancing,Medium,20,85,80,83,Drinks,"Vegetarian,Vegan,Pescatarian,Halal,Kosher","Nut-Free,Seafood-Free","Low-Carb,Low-Sugar,Low-Sodium","Calories,Carbohydrates,Protein,Fat,Fiber",shake,13,130,chocolate.jpg
22,Fudbook kitchenette,Cookies & Cream Milk Shake,"Cream, cookies and cream, water, milk, sweetener",Mood-enhancing,Medium,45,85,46,66,"Merienda,Drinks","Vegetarian,Vegan,Pescatarian,Halal,Kosher","Nut-Free,Seafood-Free",none,"Calories,Carbohydrates,Protein,Fat,Fiber",shake,13,220,cookies_and_cream.jpg
23,Fudbook kitchenette,Double Dutch Milk Shake,"Double- dutch flavored powder, milk, ice, sweetener",Mood-enhancing,Medium,45,85,52,69,"Merienda,Drinks","Vegetarian,Vegan,Pescatarian,Halal,Kosher","Nut-Free,Seafood-Free",none,"Calories,Carbohydrates,Protein,Fat,Fiber",shake,13,230,double_dutch.jpg
24,Fudbook kitchenette,Black Forest Milk Shake,"Black forest flavored powder, milk, ice, sweetener",Mood-enhancing,Medium,45,85,44,65,"Merienda,Drinks","Vegetarian,Vegan,Pescatarian,Halal,Kosher",Seafood-Free,none,"Calories,Carbohydrates,Protein,Fat,Fiber",shake,13,205,black_forest.jpg
25,Fudbook kitchenette,Rocky Road Milk Shake,"Rocky Road flavored powder, milk, ice, sweetener",Mood-enhancing,Medium,45,85,47,66,"Merienda,Drinks","Vegetarian,Vegan,Pescatarian,Halal,Kosher","Nut-Free,Soy-Free,Seafood-Free",none,"Calories,Carbohydrates,Protein,Fat,Fiber",shake,13,190,rocky_road.jpg
26,Rewanda's Eatery,Mango Graham,"Mangoes, crushed graham crackers, condensed milk, all-purpose cream",Mood-enhancing,Small,20,90,79,85,Drinks,"Vegetarian,Vegan,Pescatarian,Halal,Kosher","Nut-Free,Soy-Free,Seafood-Free","Low-Carb,Low-Sugar,Low-Sodium","Calories,Carbohydrates,Protein,Fat,Fiber",drinks,14,132,mango.jpg
27,Rewanda's Eatery,Matcha Latte,"Matcha green tea powder, steamed milk, sweetener ",Mood-enhancing,Small,20,90,85,88,Drinks,"Vegetarian,Vegan,Pescatarian,Halal,Kosher","Nut-Free,Seafood-Free","Low-Carb,Low-Sugar,Low-Sodium","Calories,Carbohydrates,Protein,Fat,Fiber",drinks,14,95,matcha_latte.jpg
28,Rewanda's Eatery,Matcha Oreo,"Matcha green tea powder, crushed Oreo cookies, milk",Mood-enhancing,Small,20,88,85,87,Drinks,"Vegetarian,Vegan,Pescatarian,Halal,Kosher","Nut-Free,Soy-Free,Seafood-Free","Low-Carb,Low-Sugar,Low-Sodium","Calories,Carbohydrates,Protein,Fat,Fiber",drinks,14,110,matcha_oreo.jpg
29,Rewanda's Eatery,Taro Tea Drink,"Taro Powder, Water, Sugar, Ice",Mood-enhancing,Small,20,85,83,84,Drinks,"Vegetarian,Vegan,Pescatarian,Halal,Kosher","Gluten-Free,Dairy-Free,Nut-Free,Soy-Free,Seafood-Free","Low-Carb,Low-Sugar,Low-Sodium","Calories,Carbohydrates,Protein,Fat,Fiber",drinks,14,95,taro.jpg
30,Rewanda's Eatery,Ocean Blue Lemonade,"Fresh Lemon, Ocean Blue Lemonade Powder, Water, Sugar, Ice",Refreshing,Small,20,91,88,90,Drinks,"Vegetarian,Vegan,Pescatarian,Halal,Kosher","Gluten-Free,Dairy-Free,Nut-Free,Soy-Free,Seafood-Free","Low-Carb,Low-Sugar,Low-Sodium","Calories,Carbohydrates,Protein,Fat,Fiber",drinks,14,95,lemon.jpg
31,Rewanda's Eatery,Kiwi Lemonade,"Fresh Lemon, Kiwi Lemonade Powder, Water, Sugar, Ice",Refreshing,Small,20,90,90,90,Drinks,"Vegetarian,Vegan,Pescatarian,Halal,Kosher","Gluten-Free,Dairy-Free,Nut-Free,Soy-Free,Seafood-Free","Low-Carb,Low-Sugar,Low-Sodium","Calories,Carbohydrates,Protein,Fat,Fiber",drinks,14,95,lemon.jpg
32,Rewanda's Eatery,Strawberry Lemonade,"Strawberry Lemonade Powder, Fresh Lemon, Sugar, Water, Ice",Refreshing,Small,20,85,88,87,Drinks,"Vegetarian,Vegan,Pescatarian,Halal,Kosher","Nut-Free,Seafood-Free","Low-Carb,Low-Sugar,Low-Sodium","Calories,Carbohydrates,Protein,Fat,Fiber",drinks,14,95,lemon.jpg
33,Rewanda's Eatery,Thicc Milo,"Milo, Crushed Ice, Milk, Sugar",Mood-enhancing,Small,20,95,75,85,Merienda,"Vegetarian,Vegan,Pescatarian,Halal,Kosher","Gluten-Free,Dairy-Free,Nut-Free,Soy-Free,Seafood-Free","Low-Carb,Low-Sugar,Low-Sodium","Calories,Carbohydrates,Protein,Fat,Fiber",shake,14,160,milo.jpg
34,PUROY'S EATERY,Omelette with Rice,"Egg,Rice,Ketchup,Onion","Protein, Energy-Boost,Fiber",One Serving,55,88,83,86,"Breakfast,Lunch,Dinner","Vegetarian,Vegan,Pescatarian,Halal,Kosher","Nut-Free,Seafood-Free","High-Protein,Low-Sugar,Low-Sodium","Calories,Carbohydrates,Protein,Fat,Fiber",rice_meal,15,182,omelete.jpg
35,PUROY'S EATERY,Pancake,"Flour, Baking Powder, Sugar, Salt, Milk, Egg, Butter","Carbohydrates,Protein,Healthy fats",One Serving,35,85,78,82,"Breakfast,Lunch,Dinner","Vegetarian,Vegan,Pescatarian,Halal,Kosher","Dairy-Free,Nut-Free,Soy-Free,Seafood-Free","Low-Carb,Low-Sugar,Low-Sodium","Calories,Carbohydrates,Protein,Fat,Fiber",sandwich,15,141,pancake.jpg
36,PUROY'S EATERY,Pancit Canton,"Canton Noodles, Oil, Seasoning","Carbohydrates, Energy-Boost",One Serving,30,80,74,77,"Breakfast,Lunch,Dinner","Vegetarian,Vegan,Pescatarian,Halal,Kosher","Nut-Free,Seafood-Free","High-Protein,Low-Sugar,Low-Sodium","Calories,Carbohydrates,Protein,Fat,Fiber",noodles,15,270,pancit_canton.jpg
37,PUROY'S EATERY,Corndog,"Hotdog, Flour, Sugar, Baking Powder, Milk, Egg, Oil, Salt","Protein, Fiber, Carbohydrates, ",1 piece,25,80,67,74,Merienda,"Pescatarian,Halal,Kosher","Gluten-Free,Dairy-Free,Nut-Free,Soy-Free,Seafood-Free","High-Protein,Low-Sugar,Low-Sodium","Calories,Carbohydrates,Protein,Fat,Fiber",snack,15,170,corndog.jpg
38,PUROY'S EATERY,Lumpiang Togue,"Mung bean sprouts, Carrot, Onion, Garlic, Fish Sauce, Dried Shrimps, Fried Tofu, Ground black pepper, spring roll wrappers, oil","Rich in Vitamins and Minerals,  Fiber, Protein",1 piece,15,95,87,91,Merienda,"Vegetarian,Vegan,Pescatarian,Halal","Gluten-Free,Dairy-Free,Nut-Free,Soy-Free,Seafood-Free","High-Protein,Low-Sugar,Low-Sodium","Calories,Carbohydrates,Protein,Fat,Fiber",appetizer,15,89,lumpia.jpg
39,PUROY'S EATERY,Dynamite,"Green chili peppers, Ground meat, Spring roll wrappers, oil","Metabolism booster, Protein, Iron, Calcium",1 piece,16,90,82,86,Merienda,"Vegetarian,Vegan,Pescatarian,Halal, Kosher","Gluten-Free,Dairy-Free,Nut-Free,Soy-Free,Seafood-Free","High-Protein,Low-Sugar,Low-Sodium","Calories,Carbohydrates,Protein,Fat,Fiber",snack,15,78,dynamite.jpg
40,PUROY'S EATERY,Tokwa,Tofu,"plant-based protein, amino acids,minerals",5 pieces,20,92,92,92,Merienda,"Vegetarian,Vegan,Pescatarian,Halal,Kosher","Gluten-Free,Dairy-Free,Nut-Free,Soy-Free,Seafood-Free","High-Protein,Low-Carb,Low-Fat,Low-Sugar,Low-Sodium","Calories,Carbohydrates,Protein,Fat,Fiber",appetizer,15,150,tokwa.jpg
41,PUROY'S EATERY,VeggieBalls,"mixed vegetables, flour","Anti-oxidant, fiber",4 pieces,10,95,98,97,Merienda,"Pescatarian,Halal,Kosher","Gluten-Free,Dairy-Free,Nut-Free,Soy-Free","High-Protein,Low-Carb,Low-Fat,Low-Sugar,Low-Sodium","Calories,Carbohydrates,Protein,Fat,Fiber",snack,15,160,veggieballs.jpg
42,PUROY'S EATERY,FishBall,fish paste,"omega-3 fatty acids, protein",8 pieces,10,85,75,80,Merienda,"Pescatarian,Halal,Kosher","Gluten-Free,Dairy-Free,Nut-Free,Soy-Free","High-Protein,Low-Carb,Low-Fat,Low-Sugar,Low-Sodium","Calories,Carbohydrates,Protein,Fat,Fiber",street food,15,150,fishball.jpg
43,PUROY'S EATERY,Kikiam,Ground pork,"protein, fiber, Carbohydrates, ",6 pieces,10,85,90,88,Merienda,"Pescatarian,Halal,Kosher","Gluten-Free,Dairy-Free,Nut-Free,Soy-Free,Seafood-Free","High-Protein,Low-Carb,Low-Fat,Low-Sugar,Low-Sodium","Calories,Carbohydrates,Protein,Fat,Fiber",street food,15,164,kikiam.jpg
44,PUROY'S EATERY,Chicken Balls,"Chicken, Egg, Seasonings, Oil","High-quality protein, vitamin B, Iron, Zinc",6 pieces,20,85,80,83,Merienda,"Pescatarian,Halal,Kosher","Gluten-Free,Dairy-Free,Nut-Free,Soy-Free","High-Protein,Low-Carb,Low-Fat,Low-Sugar,Low-Sodium","Calories,Carbohydrates,Protein,Fat,Fiber",street food,15,162,chicken_balls.jpg
45,PUROY'S EATERY,Squid Balls,"Squid, Starch, Seasonings, Oil","Protein,Iron",6 pieces,20,80,78,79,Merienda,"Pescatarian,Halal,Kosher","Nut-Free,Seafood-Free","High-Protein,Low-Carb,Low-Fat,Low-Sugar,Low-Sodium","Calories,Carbohydrates,Protein,Fat,Fiber",street food,15,150,squid_balls.jpg
46,PUROY'S EATERY,Cheese Sticks,"Cheese, Wrapper, Oil","Calcium, Energy, Protein",8 pieces,20,80,75,78,Merienda,"Vegetarian,Vegan,Pescatarian,Halal","Gluten-Free,Dairy-Free,Nut-Free,Soy-Free","High-Protein,Low-Carb,Low-Fat,Low-Sugar,Low-Sodium","Calories,Carbohydrates,Protein,Fat,Fiber",snack,15,184,cheese_sticks.jpg
